id,IMD18,Employment,Incom,Crime,Housing,Health,Education,Access,,,,,,,,,
7600178,9,8,9,6,8,10,6,5,,,,,,,,,
7600180,4,5,5,1,2,3,4,9,,,,,,,,,
7600181,9,8,9,2,8,9,9,6,,,,,,,,,
7600182,9,8,9,3,9,10,7,6,,,,,,,,,
7600183,2,1,3,6,4,3,2,9,,,,,,,,,
7600184,5,7,5,1,2,6,4,8,,,,,,,,,
7600185,6,5,7,4,6,8,7,7,,,,,,,,,
7600186,4,6,4,4,4,4,2,6,,,,,,,,,
7600188,8,9,8,9,8,7,7,4,,,,,,,,,
7600189,8,6,9,3,9,10,5,3,,,,,,,,,
7600190,9,9,9,5,9,8,6,3,,,,,,,,,
7600191,4,4,6,7,6,3,3,8,,,,,,,,,
7600192,6,7,6,2,6,7,2,6,,,,,,,,,
7600193,2,3,3,1,2,1,4,7,,,,,,,,,
7600194,1,4,2,3,3,2,2,7,,,,,,,,,
7600195,7,6,8,4,8,7,7,3,,,,,,,,,
7600196,5,4,6,4,6,6,3,7,,,,,,,,,
7600197,8,8,9,5,9,8,6,4,,,,,,,,,
7600198,2,5,3,2,2,1,2,6,,,,,,,,,
7600199,2,5,3,2,3,2,1,7,,,,,,,,,
7600200,2,3,2,3,3,5,4,9,,,,,,,,,
7600201,5,6,5,6,6,5,4,9,,,,,,,,,
7600202,8,8,9,3,9,8,7,3,,,,,,,,,
7600203,2,1,3,8,4,5,3,7,,,,,,,,,
7600204,8,8,8,7,7,9,7,7,,,,,,,,,
7600205,8,8,9,6,8,6,7,6,,,,,,,,,
7600206,8,7,8,4,8,10,7,2,,,,,,,,,
7600207,9,9,10,7,9,8,6,5,,,,,,,,,
7600208,8,8,8,4,9,6,6,4,,,,,,,,,
7600209,9,10,9,10,9,8,6,3,,,,,,,,,
7600210,8,5,9,5,9,10,5,3,,,,,,,,,
7600211,8,7,9,7,9,10,8,3,,,,,,,,,
7600212,8,8,8,4,9,8,6,3,,,,,,,,,
7600213,7,7,9,6,6,7,6,4,,,,,,,,,
7600214,7,7,7,2,6,9,7,6,,,,,,,,,
7600215,3,4,2,1,3,4,3,9,,,,,,,,,
7600216,6,3,5,2,2,10,5,6,,,,,,,,,
7600217,1,4,2,4,2,1,1,7,,,,,,,,,
7600218,2,4,2,7,3,3,2,7,,,,,,,,,
7600219,8,6,9,7,9,8,8,2,,,,,,,,,
7600220,5,7,4,4,6,6,5,5,,,,,,,,,
7600221,9,9,9,5,8,10,7,4,,,,,,,,,
7600222,8,8,9,9,9,8,4,4,,,,,,,,,
7600223,9,9,9,4,10,8,8,4,,,,,,,,,
7600224,4,4,4,8,3,5,6,7,,,,,,,,,
7600225,7,7,7,6,7,8,8,4,,,,,,,,,
7600226,8,9,9,7,8,7,7,3,,,,,,,,,
